Commercial Property for Rent in Moratuwa,3200,Building,https://ikman.lk/en/ad/commercial-property-for-rent-in-moratuwa-for-rent-colombo-15,"Moratuwa,","Off Modara Road, Egodauyana, Moratuwa",https://i.ikman-st.com/commercial-property-for-rent-in-moratuwa-for-rent-colombo-15/eff1b787-9b7f-457b-9b18-6e0ca419afe0/142/107/cropped.jpg,100000,Rent,Ikman.lk,2026-02-21
"Ground Floor Commercial Space for Rent in Ethulkotte, Kotte",1600,Building,https://ikman.lk/en/ad/ground-floor-commercial-space-for-rent-in-ethulkotte-kotte-for-rent-colombo-11,"Nugegoda,","Ethulkotte, Kotte",https://i.ikman-st.com/ground-floor-commercial-space-for-rent-in-ethulkotte-kotte-for-rent-colombo-11/e34ba186-0bcc-4409-926d-e3049f6502b7/142/107/cropped.jpg,180000,Rent,Ikman.lk,2026-02-21
"Office Space for Rent in Nawala Road, Colombo 05",1350,Office,https://ikman.lk/en/ad/office-space-for-rent-in-nawala-road-colombo-05-for-rent-colombo-32,"Colombo 5,","Narahenpita - Nawala Road, Colombo 05",https://i.ikman-st.com/office-space-for-rent-in-nawala-road-colombo-05-for-rent-colombo-32/ccf9c752-4802-452f-bf2a-beddb3cb58c6/142/107/cropped.jpg,420000,Rent,Ikman.lk,2026-02-21
Fully Furnished Premium Office Space for Rent Colombo 05,600,Office,https://ikman.lk/en/ad/fully-furnished-premium-office-space-for-rent-colombo-05-for-rent-colombo,"Colombo 5,","No. 88, Wijaya Kumarathunge Mawatha, Colombo 05",https://i.ikman-st.com/fully-furnished-premium-office-space-for-rent-colombo-05-for-rent-colombo/178c5ea5-5aa4-4527-8e6d-a59a57bc9ae0/142/107/cropped.jpg,450000,Rent,Ikman.lk,2026-02-21
4 Story Commercial Building for Rent in Wattala,53500,Building,https://ikman.lk/en/ad/4-story-commercial-building-for-rent-in-wattala-for-rent-gampaha,"Wattala,","Off Colombo - Negombo Road, Wattala",https://i.ikman-st.com/4-story-commercial-building-for-rent-in-wattala-for-rent-gampaha/2fabcdf7-202a-44e5-8dfe-dcc722d482b2/142/107/cropped.jpg,8000000,Rent,Ikman.lk,2026-02-21
Office Space for Rent Trincomalee,980,Office,https://ikman.lk/en/ad/office-space-available-for-rent-for-rent-trincomalee,"Trincomalee City,",Main Street Trincomalee,https://i.ikman-st.com/office-space-available-for-rent-for-rent-trincomalee/14631fba-f9e8-439f-a3ab-518747e2b426/142/107/cropped.jpg,80000,Rent,Ikman.lk,2026-02-21
Office Spaces for Rent in Borella - THI004C,3000,Office,https://ikman.lk/en/ad/office-spaces-for-rent-in-borella-thi004c-for-rent-colombo,"Colombo 8,",HomeAll adsPropertyCommercial Property RentalsOfficeOffice in ColomboOffice in Colombo 8Office Spaces for Rent in Borella - THI004C,https://i.ikman-st.com/office-spaces-for-rent-in-borella-thi004c-for-rent-colombo/f075e78c-7f46-417d-adc2-a8648181073a/142/107/cropped.jpg,525000,Rent,Ikman.lk,2026-02-21
A/C OFFICE SPACE FOR RENT IN PITAKOTTE,2500,Office,https://ikman.lk/en/ad/a-c-office-space-for-rent-in-pitakotte-ground-floor-for-rent-colombo,"Kotte,",FACING MAIN ROAD -Pita Kotte,https://i.ikman-st.com/a-c-office-space-for-rent-in-pitakotte-ground-floor-for-rent-colombo/59d81d30-c674-4cd3-8c05-645cf2e70a7f/142/107/cropped.jpg,300000,Rent,Ikman.lk,2026-02-21
Commercial Property For Rent In Colombo 07,15000,Building,https://ikman.lk/en/ad/commercial-property-for-rent-in-colombo-07-for-rent-colombo-4,"Colombo 7,","Rajakeeya Mawatha, Colombo 07",https://i.ikman-st.com/commercial-property-for-rent-in-colombo-07-for-rent-colombo-4/e857632e-b3ac-46e0-a23b-05f504ea62ee/142/107/cropped.jpg,7000000,Rent,Ikman.lk,2026-02-21
Commercial Building for Rent in Mattakkuliya,53500,Building,https://ikman.lk/en/ad/commercial-building-for-rent-in-mattakkuliya-for-rent-colombo,"Colombo 15,","Centra Road, Mattakkuliya, Colombo",https://i.ikman-st.com/commercial-building-for-rent-in-mattakkuliya-for-rent-colombo/fe7e361c-e80e-4b31-8533-4294d912c9d2/142/107/cropped.jpg,8000000,Rent,Ikman.lk,2026-02-21
4 Story Building for Rent In kelaniya - CC757,6500,Building,https://ikman.lk/en/ad/4-story-building-for-rent-in-kelaniya-cc757-for-rent-gampaha-10,"Kiribathgoda,","Description4 Story Building for Rent In kelaniya - CC757ï¿­ At Dipitiyagoda Road, Kelaniyaï¿­ Each Floor Has 2 Bathroomsï¿­ 6500 Sqftï¿­ 12 Parking ï¿­ 3 Phase Electricity ï¿­ Stare Case Availableï¿­ Just 50m To Kandy Roadï¿­ 200m To Highway ï¿­ 50 km To kalaniyaPrice Rs. 400,000/= Per Month Property Code: CC757(please mention the property code when calling)",https://i.ikman-st.com/4-story-building-for-rent-in-kelaniya-cc757-for-rent-gampaha-10/bc7ee114-30b9-46b1-b9aa-482706d883a6/142/107/cropped.jpg,400000,Rent,Ikman.lk,2026-02-21
First Floor Office Space for Rent In Colombo 04,3000,Office,https://ikman.lk/en/ad/first-floor-office-space-for-rent-in-colombo-04-for-rent-colombo-24,"Colombo 4,","Off Galle Road, Colombo 04",https://i.ikman-st.com/first-floor-office-space-for-rent-in-colombo-04-for-rent-colombo-24/1d360993-9850-41b7-8e9e-602dab7b365a/142/107/cropped.jpg,350000,Rent,Ikman.lk,2026-02-21
Office Space for Rent in Colombo 07 - THI008C,2500,Office,https://ikman.lk/en/ad/office-space-for-rent-in-colombo-07-thi008c-for-rent-colombo-1,"Colombo 7,",HomeAll adsPropertyCommercial Property RentalsOfficeOffice in ColomboOffice in Colombo 7Office Space for Rent in Colombo 07 - THI008C,https://i.ikman-st.com/office-space-for-rent-in-colombo-07-thi008c-for-rent-colombo-1/421670bb-39eb-47b3-90d9-6a7a9990b738/142/107/cropped.jpg,750000,Rent,Ikman.lk,2026-02-21
Ground Floor Office Space for Rent in Nawala,650,Office,https://ikman.lk/en/ad/ground-floor-office-space-for-rent-in-nawala-for-rent-colombo-12,"Nawala,","Close to the Weli Park, Nawala",https://i.ikman-st.com/ground-floor-office-space-for-rent-in-nawala-for-rent-colombo-12/351cd7e6-0d54-4aba-9edb-2faab801194c/142/107/cropped.jpg,150000,Rent,Ikman.lk,2026-02-21
Two Story Commercial Building for Rent in Ratmalana,5000,Office,https://ikman.lk/en/ad/two-story-commercial-building-for-rent-in-ratmalana-for-rent-colombo-8,"Ratmalana,","Off Tourist Depot Road, Ratmalana",https://i.ikman-st.com/two-story-commercial-building-for-rent-in-ratmalana-for-rent-colombo-8/0b74112c-330b-45ea-b790-2c4caab806f6/142/107/cropped.jpg,140000,Rent,Ikman.lk,2026-02-21
First Floor Office Space for Rent in Dehiwala,700,Office,https://ikman.lk/en/ad/first-floor-office-space-for-rent-in-dehiwala-for-rent-colombo-14,"Dehiwala,","Saranankara Road, Dehiwala",https://i.ikman-st.com/first-floor-office-space-for-rent-in-dehiwala-for-rent-colombo-14/2837dd14-b3df-4f2b-9567-fd3eab293d3e/142/107/cropped.jpg,110000,Rent,Ikman.lk,2026-02-21
Colombo 05 : Kitchen and Restaurant for Rent near Havelock city,2000,Restaurant,https://ikman.lk/en/ad/colombo-05-kitchen-and-restaurant-for-rent-near-havelock-city-for-rent-colombo-1,"Colombo 5,","facing Thimbirigasyaya Road, Colombo 05",https://i.ikman-st.com/colombo-05-kitchen-and-restaurant-for-rent-near-havelock-city-for-rent-colombo-1/bccca7b9-513f-485e-bc77-7bdc4d407879/142/107/cropped.jpg,1000000,Rent,Ikman.lk,2026-02-21
4-Story Commercial Building for Rent in Kelaniya,6000,Building,https://ikman.lk/en/ad/4-story-commercial-building-for-rent-in-kelaniya-em021af-for-rent-gampaha,"Kelaniya,",Kelaniya,https://i.ikman-st.com/4-story-commercial-building-for-rent-in-kelaniya-em021af-for-rent-gampaha/7afe4ecb-ec69-464d-aa4c-8be06a3e0374/142/107/cropped.jpg,400000,Rent,Ikman.lk,2026-02-21
First Floor Commercial Property for Rent in Colombo 5,900,Building,https://ikman.lk/en/ad/first-floor-commercial-property-for-rent-in-colombo-5-for-rent-colombo-7,"Colombo 5,",Colombo 5 Havelock road,https://i.ikman-st.com/first-floor-commercial-property-for-rent-in-colombo-5-for-rent-colombo-7/31ca102a-89ec-45cc-834f-fe8b5fc0c220/142/107/cropped.jpg,180000,Rent,Ikman.lk,2026-02-21
Piliyandala Moratuwa Main Road Facing 9000sqft Building For rent,PiliyandalaMorauwaMainRoadFacing9000BuildingForren,Building,https://ikman.lk/en/ad/piliyandala-moratuwa-main-road-facing-9000sqft-building-for-rent-for-rent-colombo,"Piliyandala,",Piliyandala moratuwa main Road Facing,https://i.ikman-st.com/piliyandala-moratuwa-main-road-facing-9000sqft-building-for-rent-for-rent-colombo/1679f7dd-245b-4e8b-a38f-95e6191086b6/142/107/cropped.jpg,800000,Rent,Ikman.lk,2026-02-21
Colombo Piliyandala Main Road Facing Three Story Building For rent,8500,Building,https://ikman.lk/en/ad/colombo-piliyandala-main-road-facing-three-story-building-for-rent-for-rent-colombo-2,"Piliyandala,",werahara colombo piliyandala Main Road Facing,https://i.ikman-st.com/colombo-piliyandala-main-road-facing-three-story-building-for-rent-for-rent-colombo-2/3e7b8c6b-d909-4b60-954e-6db6f70c8f8b/142/107/cropped.jpg,850000,Rent,Ikman.lk,2026-02-21
4-Story Commercial Building for Rent at Maharagama,16000,Building,https://ikman.lk/en/ad/4-story-commercial-building-for-rent-at-maharagama-em039rn-for-rent-colombo-7,"Maharagama,","Maharagama, Apeksha Road",https://i.ikman-st.com/4-story-commercial-building-for-rent-at-maharagama-em039rn-for-rent-colombo-7/56faf2d3-ea77-47ad-9c8b-1e244194d367/142/107/cropped.jpg,1000000,Rent,Ikman.lk,2026-02-21
Office Space for Rent in Maradana,1100,Office,https://ikman.lk/en/ad/office-space-for-rent-in-maradana-for-rent-colombo-5,"Colombo 10,","Close to Technical Junction, Opposite Traffic Court and Peoples Bank",https://i.ikman-st.com/office-space-for-rent-in-maradana-for-rent-colombo-5/5a77af08-1063-4df0-a0cd-412885746ef6/142/107/cropped.jpg,125000,Rent,Ikman.lk,2026-02-21
4-Storied Commercial Property for Rent â Pannipitiya,8500,Building,https://ikman.lk/en/ad/4-storied-commercial-property-for-rent-pannipitiya-em023ba-for-rent-colombo,"Pannipitiya,",Pannipitiya,https://i.ikman-st.com/4-storied-commercial-property-for-rent-pannipitiya-em023ba-for-rent-colombo/29e58995-2d17-4c68-ade1-dd04d20fe671/142/107/cropped.jpg,700000,Rent,Ikman.lk,2026-02-21
